"","id","days_to_event","date_out","out_event","date_in","in_event","breed","color","intake_age"
"16","A703167",4,"05/25/2015 03:38:00 PM","Transfer","05/21/2015 11:02:00 AM","Stray","Domestic Shorthair Mix","Black",12
"17","A677624",55,"06/21/2014 02:51:00 PM","Adoption","04/27/2014 11:23:00 AM","Stray","Domestic Shorthair Mix","Black",1
"18","A699075",1,"03/23/2015 09:00:00 AM","Transfer","03/22/2015 10:56:00 AM","Stray","Domestic Shorthair Mix","Black",12
"19","A754906",4,"07/30/2017 10:47:00 PM","Adoption","07/26/2017 01:50:00 PM","Stray","Domestic Longhair Mix","Blue Tabby",1
"20","A767442",30,"03/31/2018 05:26:00 PM","Adoption","03/01/2018 10:50:00 AM","Owner Surrender","Domestic Shorthair Mix","Seal Point",24
"21","A676984",18,"05/05/2014 12:31:00 PM","Transfer","04/17/2014 05:12:00 PM","Stray","Domestic Longhair Mix","Black/White",24
"22","A666200",5,"11/02/2013 05:07:00 PM","Adoption","10/28/2013 04:03:00 PM","Stray","Siamese Mix","Lilac Point",3
"23","A728539",34,"07/09/2016 05:52:00 PM","Adoption","06/05/2016 03:02:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"24","A686070",1,"08/17/2014 09:00:00 AM","Transfer","08/16/2014 11:17:00 AM","Stray","Domestic Shorthair Mix","Cream Tabby/White",24
"25","A726812",10,"05/24/2016 04:21:00 PM","Adoption","05/14/2016 06:23:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"26","A687804",2,"09/12/2014 09:00:00 AM","Transfer","09/10/2014 12:16:00 PM","Stray","Domestic Shorthair Mix","Blue",24
"27","A771402",9,"05/13/2018 12:50:00 PM","Adoption","05/04/2018 02:12:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue/White",12
"28","A737666",7,"11/09/2016 02:16:00 PM","Transfer","11/02/2016 12:21:00 PM","Stray","Domestic Medium Hair Mix","Black",4
"29","A692589",21,"12/14/2014 05:32:00 PM","Adoption","11/23/2014 11:32:00 AM","Stray","Domestic Shorthair Mix","Blue/White",3
"30","A706067",5,"06/29/2015 01:55:00 PM","Transfer","06/24/2015 12:17:00 PM","Stray","Domestic Shorthair Mix","White/Black",3
"31","A667606",60,"01/19/2014 04:47:00 PM","Adoption","11/20/2013 12:29:00 PM","Stray","Domestic Shorthair Mix","Torbie",1
"32","A710491",68,"10/31/2015 07:48:00 AM","Adoption","08/24/2015 08:40:00 AM","Stray","Domestic Longhair Mix","Black/White",4
"33","A726861",27,"06/11/2016 04:39:00 PM","Adoption","05/15/2016 02:30:00 PM","Owner Surrender","Domestic Shorthair Mix","White/Tan",12
"34","A728524",5,"06/10/2016 02:28:00 PM","Adoption","06/05/2016 12:32:00 PM","Stray","Domestic Medium Hair Mix","Brown",12
"35","A715799",1,"11/11/2015 11:39:00 AM","Transfer","11/10/2015 11:57:00 AM","Stray","Domestic Shorthair Mix","Black",4
"36","A761854",27,"12/07/2017 06:52:00 PM","Adoption","11/10/2017 03:40:00 PM","Owner Surrender","Domestic Shorthair Mix","Tortie",96
"37","A719347",5,"01/22/2016 07:04:00 PM","Adoption","01/17/2016 05:36:00 PM","Stray","Snowshoe Mix","Lynx Point/White",24
"38","A765890",4,"02/02/2018 02:17:00 PM","Transfer","01/29/2018 01:56:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",12
"39","A759297",47,"11/16/2017 12:33:00 PM","Adoption","09/30/2017 11:44:00 AM","Owner Surrender","Domestic Shorthair Mix","Black",36
"40","A676635",9,"04/21/2014 09:54:00 AM","Adoption","04/12/2014 06:18:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",3
"41","A682797",5,"07/08/2014 03:25:00 PM","Transfer","07/03/2014 11:01:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby",1
"42","A735393",1,"09/24/2016 09:00:00 AM","Transfer","09/23/2016 12:58:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",12
"43","A735494",73,"12/06/2016 01:54:00 PM","Adoption","09/24/2016 02:53:00 PM","Stray","Domestic Shorthair Mix","Torbie/White",1
"44","A740410",4,"12/20/2016 06:41:00 PM","Adoption","12/16/2016 04:46:00 PM","Stray","Domestic Shorthair Mix","Black",1
"45","A755438",4,"08/07/2017 05:07:00 PM","Transfer","08/03/2017 01:42:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",4
"46","A737520",86,"01/24/2017 01:30:00 PM","Adoption","10/30/2016 02:51:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",0
"47","A687319",6,"09/09/2014 05:15:00 PM","Adoption","09/03/2014 01:15:00 PM","Owner Surrender","Maine Coon Mix","Brown Tabby",24
"48","A701980",119,"09/03/2015 12:34:00 PM","Adoption","05/07/2015 12:02:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",12
"49","A691211",106,"03/08/2015 11:30:00 AM","Adoption","11/22/2014 02:14:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",120
"50","A763065",47,"01/18/2018 04:37:00 PM","Adoption","12/02/2017 01:41:00 PM","Stray","American Shorthair Mix","Brown Tabby/Black",24
"51","A702984",1,"05/20/2015 09:00:00 AM","Transfer","05/19/2015 06:24:00 PM","Stray","Domestic Shorthair Mix","Black",12
"52","A545301",19,"08/23/2015 06:41:00 PM","Adoption","08/04/2015 02:13:00 PM","Owner Surrender","Maine Coon","Torbie",96
"53","A751213",1,"06/06/2017 02:33:00 PM","Transfer","06/05/2017 12:30:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",4
"54","A703159",24,"06/14/2015 12:24:00 PM","Adoption","05/21/2015 10:51:00 AM","Stray","Domestic Shorthair Mix","Black",1
"55","A684929",67,"10/19/2014 04:01:00 PM","Adoption","08/13/2014 03:42:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",84
"56","A767158",4,"02/28/2018 06:49:00 PM","Adoption","02/24/2018 02:24:00 PM","Stray","Domestic Medium Hair Mix","Orange Tabby/White",1
"57","A703802",38,"07/06/2015 07:23:00 PM","Adoption","05/29/2015 10:26:00 AM","Stray","Domestic Shorthair Mix","Blue",1
"58","A705561",4,"06/23/2015 03:19:00 PM","Euthanasia","06/19/2015 07:31:00 AM","Stray","Domestic Longhair Mix","Seal Point",1
"59","A766507",3,"02/13/2018 07:30:00 PM","Transfer","02/10/2018 03:30:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",12
"60","A720249",9,"02/14/2016 02:53:00 PM","Euthanasia","02/05/2016 12:43:00 PM","Stray","Domestic Longhair Mix","Black/White",48
"61","A715760",23,"12/17/2015 03:28:00 PM","Transfer","11/24/2015 03:24:00 PM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby",12
"62","A713150",1,"10/04/2015 09:00:00 AM","Transfer","10/03/2015 12:04:00 PM","Stray","Domestic Medium Hair Mix","Blue/White",6
"63","A760375",7,"10/24/2017 06:33:00 PM","Transfer","10/17/2017 11:33:00 AM","Stray","Domestic Shorthair Mix","Black/White",3
"64","A751039",44,"07/17/2017 10:57:00 PM","Adoption","06/03/2017 02:27:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4
"65","A690140",3,"10/17/2014 02:02:00 PM","Transfer","10/14/2014 09:41:00 PM","Owner Surrender","Domestic Shorthair Mix","White/Black",2
"66","A713803",57,"12/09/2015 09:15:00 AM","Adoption","10/13/2015 12:39:00 PM","Stray","Domestic Medium Hair Mix","Tortie",1
"67","A701059",42,"06/04/2015 11:36:00 AM","Adoption","04/23/2015 03:23:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",4
"68","A713788",58,"12/10/2015 06:59:00 PM","Adoption","10/13/2015 11:02:00 AM","Stray","Domestic Shorthair Mix","Blue/White",3
"69","A699366",51,"05/16/2015 05:42:00 PM","Adoption","03/26/2015 01:16:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"70","A757589",61,"11/02/2017 06:11:00 PM","Adoption","09/02/2017 06:19:00 PM","Stray","Domestic Shorthair Mix","Calico",0
"71","A710285",1,"08/21/2015 09:00:00 AM","Transfer","08/20/2015 04:40:00 PM","Stray","Domestic Shorthair Mix","Black",3
"72","A672721",5,"02/20/2014 12:11:00 PM","Adoption","02/15/2014 03:21:00 PM","Stray","Siamese Mix","Lilac Point",4
"73","A727124",52,"07/09/2016 04:48:00 PM","Adoption","05/18/2016 01:31:00 PM","Stray","Domestic Shorthair Mix","White",4
"74","A757825",8,"09/15/2017 01:37:00 PM","Transfer","09/07/2017 11:31:00 AM","Stray","Domestic Shorthair Mix","Tortie",120
"75","A755904",17,"08/27/2017 12:06:00 PM","Transfer","08/10/2017 04:44:00 PM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby",96
"76","A744588",9,"03/12/2017 11:41:00 AM","Adoption","03/03/2017 02:53:00 PM","Owner Surrender","Domestic Longhair Mix","Orange Tabby",48
"77","A739274",31,"12/31/2016 12:19:00 PM","Adoption","11/30/2016 08:27:00 AM","Stray","Domestic Medium Hair Mix","Calico/Black",1
"78","A748636",6,"05/10/2017 12:00:00 AM","Transfer","05/04/2017 06:22:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",12
"79","A715190",44,"12/15/2015 10:45:00 AM","Adoption","11/01/2015 04:16:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",72
"80","A719797",49,"03/17/2016 12:30:00 PM","Adoption","01/28/2016 07:49:00 AM","Stray","Domestic Shorthair Mix","Black",48
"81","A707830",4,"07/22/2015 06:27:00 PM","Adoption","07/18/2015 03:16:00 PM","Stray","Domestic Medium Hair Mix","White/Orange",4
"82","A671235",5,"01/26/2014 05:47:00 PM","Adoption","01/21/2014 01:30:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",5
"83","A708837",57,"09/27/2015 03:10:00 PM","Adoption","08/01/2015 12:21:00 PM","Stray","Domestic Medium Hair","Torbie",12
"84","A664609",1,"10/07/2013 04:01:00 PM","Transfer","10/06/2013 11:20:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",24
"85","A747069",4,"04/17/2017 07:15:00 PM","Transfer","04/13/2017 12:56:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",12
"86","A682703",15,"07/16/2014 02:47:00 PM","Transfer","07/01/2014 06:39:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",48
"87","A681400",2,"06/18/2014 02:09:00 PM","Transfer","06/16/2014 11:24:00 AM","Stray","Domestic Shorthair Mix","Blue/White",1
"88","A707389",6,"07/18/2015 01:06:00 PM","Transfer","07/12/2015 11:27:00 AM","Stray","Domestic Medium Hair Mix","Black",36
"89","A765933",4,"02/03/2018 07:11:00 PM","Transfer","01/30/2018 11:28:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",24
"90","A735716",1,"09/28/2016 01:50:00 PM","Transfer","09/27/2016 06:06:00 PM","Stray","Domestic Shorthair Mix","Black",4
"91","A738497",36,"12/22/2016 01:35:00 PM","Transfer","11/16/2016 01:02:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",48
"92","A757469",14,"09/17/2017 06:24:00 PM","Adoption","09/03/2017 10:32:00 AM","Owner Surrender","Domestic Shorthair Mix","Blue",12
"93","A730009",45,"08/11/2016 10:40:00 AM","Adoption","06/27/2016 11:28:00 AM","Owner Surrender","Domestic Shorthair Mix","Black",3
"94","A752638",4,"06/29/2017 06:33:00 PM","Transfer","06/25/2017 01:06:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",36
"95","A761461",5,"11/10/2017 07:13:00 PM","Transfer","11/05/2017 11:24:00 AM","Stray","American Shorthair Mix","Black/Black",6
"96","A667579",41,"12/31/2013 03:25:00 PM","Transfer","11/20/2013 10:45:00 AM","Stray","Domestic Shorthair Mix","Black",4
"97","A693030",17,"12/17/2014 05:31:00 PM","Adoption","11/30/2014 03:58:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",2
"98","A718746",5,"01/11/2016 11:45:00 AM","Transfer","01/06/2016 12:15:00 PM","Stray","Domestic Shorthair Mix","Black/White",96
"99","A666198",55,"12/22/2013 12:56:00 PM","Transfer","10/28/2013 04:03:00 PM","Stray","Domestic Shorthair Mix","Tortie",1
"100","A705717",81,"09/09/2015 08:10:00 AM","Adoption","06/20/2015 02:39:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"101","A709195",1,"08/06/2015 09:00:00 AM","Transfer","08/05/2015 06:12:00 PM","Stray","Domestic Shorthair Mix","Black",4
"102","A680225",1,"06/01/2014 05:15:00 PM","Transfer","05/31/2014 11:02:00 AM","Stray","Domestic Shorthair Mix","Calico",24
"103","A704731",77,"08/24/2015 11:00:00 AM","Transfer","06/08/2015 01:11:00 PM","Stray","Domestic Shorthair Mix","Tortie",12
"104","A704031",32,"07/02/2015 12:00:00 AM","Transfer","05/31/2015 04:40:00 PM","Owner Surrender","Domestic Shorthair Mix","White/Black",1
"105","A681561",1,"06/19/2014 01:20:00 PM","Transfer","06/18/2014 02:46:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",1
"106","A696067",5,"02/02/2015 02:56:00 PM","Transfer","01/28/2015 03:19:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",12
"107","A763827",5,"12/21/2017 05:34:00 PM","Adoption","12/16/2017 12:32:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",1
"108","A707258",36,"08/15/2015 09:32:00 AM","Adoption","07/10/2015 02:56:00 PM","Owner Surrender","Siamese Mix","Lynx Point/White",60
"109","A688402",8,"09/27/2014 05:02:00 PM","Transfer","09/19/2014 10:33:00 AM","Owner Surrender","Domestic Shorthair Mix","Black/White",3
"110","A760648",18,"11/08/2017 12:00:00 AM","Adoption","10/21/2017 06:34:00 PM","Stray","Domestic Shorthair Mix","White/White",1
"111","A704280",45,"07/18/2015 06:05:00 PM","Adoption","06/03/2015 12:29:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",72
"112","A707901",100,"10/21/2015 11:18:00 AM","Adoption","07/13/2015 03:03:00 PM","Stray","Domestic Shorthair Mix","Black",0
"113","A683157",1,"07/08/2014 09:00:00 AM","Transfer","07/07/2014 06:52:00 PM","Stray","Domestic Longhair Mix","Black Smoke",12
"114","A681976",4,"06/26/2014 05:16:00 PM","Transfer","06/22/2014 11:42:00 AM","Stray","Domestic Shorthair Mix","Black/White",2
"115","A718700",52,"02/26/2016 12:20:00 PM","Transfer","01/05/2016 02:31:00 PM","Stray","Domestic Shorthair Mix","Black",60
"116","A682824",5,"07/08/2014 02:48:00 PM","Transfer","07/03/2014 03:35:00 PM","Owner Surrender","Domestic Shorthair Mix","Black/White",2
"117","A669594",29,"01/21/2014 06:34:00 PM","Adoption","12/23/2013 03:45:00 PM","Stray","Domestic Medium Hair Mix","Black",4
"118","A739444",24,"12/27/2016 06:33:00 PM","Adoption","12/03/2016 10:53:00 AM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",1
"119","A654580",29,"01/08/2017 04:24:00 PM","Adoption","12/10/2016 03:28:00 PM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby/White",36
"120","A743911",2,"02/21/2017 04:32:00 PM","Euthanasia","02/19/2017 12:48:00 PM","Owner Surrender","Domestic Shorthair Mix","Gray/White",10
"121","A722303",4,"03/18/2016 04:53:00 PM","Adoption","03/14/2016 01:31:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",12
"122","A751145",13,"06/17/2017 05:14:00 PM","Adoption","06/04/2017 02:24:00 PM","Stray","Domestic Shorthair Mix","Black",1
"123","A695546",1,"01/18/2015 09:00:00 AM","Transfer","01/17/2015 04:34:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",12
"124","A730239",166,"12/13/2016 11:41:00 AM","Adoption","06/30/2016 03:00:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"125","A610074",56,"06/28/2016 03:18:00 PM","Adoption","05/03/2016 12:17:00 PM","Owner Surrender","Siamese Mix","Seal Point",60
"126","A769724",32,"05/11/2018 01:37:00 PM","Transfer","04/09/2018 02:09:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",24
"127","A721113",6,"02/27/2016 06:22:00 PM","Transfer","02/21/2016 03:19:00 PM","Stray","Domestic Shorthair Mix","Black",12
"128","A761894",30,"12/11/2017 05:33:00 PM","Adoption","11/11/2017 12:15:00 PM","Owner Surrender","Siamese Mix","Lynx Point",4
"129","A710949",11,"09/10/2015 01:52:00 PM","Adoption","08/30/2015 02:40:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",5
"130","A738302",39,"12/21/2016 10:32:00 AM","Adoption","11/12/2016 02:09:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"131","A666507",39,"12/11/2013 12:50:00 PM","Transfer","11/02/2013 12:24:00 PM","Stray","Domestic Shorthair Mix","Cream",3
"132","A352713",12,"04/25/2017 12:25:00 PM","Transfer","04/13/2017 04:29:00 PM","Stray","Domestic Shorthair Mix","Silver Tabby",156
"133","A689208",1,"10/01/2014 07:56:00 AM","Euthanasia","09/30/2014 04:55:00 PM","Stray","Domestic Shorthair Mix","White/Brown Tabby",24
"134","A693900",12,"12/28/2014 02:05:00 PM","Transfer","12/16/2014 03:30:00 PM","Owner Surrender","Domestic Shorthair Mix","Black/White",72
"135","A702378",12,"05/24/2015 01:49:00 PM","Adoption","05/12/2015 06:46:00 PM","Stray","Domestic Shorthair Mix","Black",72
"136","A721955",4,"03/12/2016 07:19:00 PM","Transfer","03/08/2016 11:31:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",24
"137","A681972",7,"06/29/2014 02:49:00 PM","Adoption","06/22/2014 11:24:00 AM","Stray","Siamese Mix","Lynx Point",1
"138","A680040",5,"06/03/2014 02:43:00 PM","Adoption","05/29/2014 11:02:00 AM","Owner Surrender","Domestic Longhair Mix","White/Blue",2
"139","A692612",27,"12/20/2014 11:55:00 AM","Adoption","11/23/2014 01:54:00 PM","Stray","Domestic Shorthair Mix","Torbie",2
"140","A677735",141,"09/16/2014 11:30:00 AM","Transfer","04/28/2014 03:34:00 PM","Owner Surrender","Domestic Shorthair","Black/White",24
"141","A765799",71,"05/02/2018 01:11:00 PM","Adoption","02/20/2018 01:56:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby/White",108
"142","A679736",1,"05/26/2014 06:12:00 PM","Transfer","05/25/2014 01:56:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",9
"143","A759252",4,"10/03/2017 05:34:00 PM","Adoption","09/29/2017 02:00:00 PM","Stray","Domestic Shorthair Mix","Torbie/White",2
"144","A745075",1,"03/13/2017 01:53:00 PM","Transfer","03/12/2017 01:21:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",7
"145","A751448",50,"07/28/2017 10:40:00 AM","Adoption","06/08/2017 12:48:00 PM","Stray","Domestic Medium Hair Mix","Blue Tabby",1
"146","A694659",1,"01/02/2015 09:00:00 AM","Transfer","01/01/2015 02:50:00 PM","Stray","Domestic Shorthair Mix","Black/White",12
"147","A728358",65,"08/06/2016 06:15:00 PM","Adoption","06/02/2016 06:23:00 PM","Stray","Domestic Shorthair Mix","Black/White",4
"148","A716551",25,"12/16/2015 11:50:00 AM","Adoption","11/21/2015 11:39:00 AM","Public Assist","Snowshoe Mix","Seal Point",24
"149","A753878",66,"09/16/2017 05:05:00 PM","Adoption","07/12/2017 09:09:00 AM","Stray","Domestic Shorthair Mix","Blue Tabby",6
"150","A668273",2,"12/03/2013 02:08:00 PM","Transfer","12/01/2013 12:13:00 PM","Owner Surrender","Domestic Shorthair Mix","Black/White",96
"151","A731320",171,"01/07/2017 04:47:00 PM","Adoption","07/20/2016 01:32:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue Tabby/White",84
"152","A729565",4,"06/24/2016 05:04:00 PM","Adoption","06/20/2016 12:54:00 PM","Stray","Domestic Shorthair Mix","Silver Tabby/White",2
"153","A711381",1,"09/07/2015 09:00:00 AM","Transfer","09/06/2015 11:19:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby/White",7
"154","A708850",8,"08/09/2015 01:48:00 PM","Transfer","08/01/2015 02:17:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",1
"155","A673443",6,"03/02/2014 12:49:00 PM","Adoption","02/24/2014 12:10:00 PM","Owner Surrender","Tonkinese Mix","Chocolate Point",6
"156","A763724",4,"12/19/2017 02:36:00 PM","Transfer","12/15/2017 07:01:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/Black",1
"157","A672766",2,"02/18/2014 04:06:00 PM","Transfer","02/16/2014 05:53:00 PM","Stray","Domestic Longhair Mix","Torbie",10
"158","A706093",5,"06/29/2015 01:56:00 PM","Transfer","06/24/2015 12:17:00 PM","Stray","Domestic Shorthair Mix","White/Black",3
"159","A723284",11,"04/09/2016 12:21:00 PM","Adoption","03/29/2016 02:27:00 PM","Stray","Domestic Shorthair Mix","Calico",10
"160","A751518",32,"07/11/2017 06:00:00 PM","Adoption","06/09/2017 10:55:00 AM","Stray","Siamese Mix","Lynx Point",4
"161","A664302",2,"10/03/2013 12:27:00 PM","Transfer","10/01/2013 04:03:00 PM","Stray","Domestic Shorthair Mix","Black/White",9
"162","A664336",6,"10/08/2013 06:44:00 PM","Adoption","10/02/2013 11:04:00 AM","Stray","Domestic Shorthair Mix","Calico",2
"163","A678753",18,"05/30/2014 04:59:00 PM","Transfer","05/12/2014 03:10:00 PM","Stray","Domestic Shorthair Mix","Black/White",4
"164","A733400",1,"08/22/2016 09:00:00 AM","Transfer","08/21/2016 11:42:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",3
"165","A678503",5,"05/14/2014 03:09:00 PM","Transfer","05/09/2014 03:44:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1
"166","A690667",1,"10/24/2014 12:35:00 PM","Transfer","10/23/2014 06:59:00 PM","Stray","Domestic Shorthair Mix","Tortie",3
"167","A728224",4,"06/05/2016 05:37:00 PM","Adoption","06/01/2016 12:23:00 PM","Stray","Domestic Shorthair Mix","White/Brown Tabby",3
"168","A754235",21,"08/07/2017 06:06:00 PM","Adoption","07/17/2017 04:02:00 PM","Stray","Domestic Shorthair Mix","Tortie",2
"169","A706563",4,"07/04/2015 10:31:00 AM","Transfer","06/30/2015 02:53:00 PM","Owner Surrender","Domestic Shorthair Mix","Black",3
"170","A697049",175,"08/11/2015 03:26:00 PM","Euthanasia","02/17/2015 11:06:00 AM","Stray","Domestic Shorthair Mix","Cream Tabby/White",12
"171","A726579",23,"06/04/2016 02:04:00 PM","Adoption","05/12/2016 01:57:00 PM","Stray","Domestic Medium Hair","Black/White",1
"172","A692877",13,"12/09/2014 03:18:00 PM","Transfer","11/26/2014 06:55:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby/White",24
"173","A750967",46,"07/18/2017 10:58:00 PM","Adoption","06/02/2017 03:50:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",3
"174","A721066",2,"02/22/2016 11:11:00 AM","Transfer","02/20/2016 03:31:00 PM","Euthanasia Request","Domestic Shorthair Mix","Black Tabby/White",120
"175","A686496",8,"08/30/2014 02:53:00 PM","Adoption","08/22/2014 04:55:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",5
"176","A732273",7,"08/12/2016 02:32:00 PM","Transfer","08/05/2016 10:59:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",144
"177","A707453",6,"07/19/2015 07:20:00 PM","Adoption","07/13/2015 12:15:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"178","A704765",43,"07/21/2015 02:09:00 PM","Transfer","06/08/2015 06:05:00 PM","Stray","Domestic Shorthair Mix","Tortie",1
"179","A726816",2,"05/16/2016 09:06:00 AM","Transfer","05/14/2016 07:27:00 PM","Stray","Domestic Medium Hair Mix","Black",5
"180","A734896",10,"09/25/2016 10:19:00 PM","Adoption","09/15/2016 09:28:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",5
"181","A719854",4,"02/02/2016 06:51:00 PM","Transfer","01/29/2016 11:16:00 AM","Stray","Domestic Shorthair Mix","White/Brown Tabby",8
"182","A720867",25,"03/12/2016 01:11:00 PM","Adoption","02/16/2016 03:34:00 PM","Stray","Domestic Shorthair Mix","Calico",120
"183","A666965",1,"11/11/2013 03:30:00 PM","Transfer","11/10/2013 12:44:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",84
"184","A716862",6,"12/03/2015 01:30:00 PM","Transfer","11/27/2015 12:03:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",5
"185","A713550",1,"10/09/2015 09:00:00 AM","Transfer","10/08/2015 02:32:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",4
"186","A683405",121,"11/07/2014 02:16:00 PM","Adoption","07/09/2014 10:45:00 AM","Stray","Domestic Shorthair Mix","Black Tabby",2
"187","A707004",61,"09/05/2015 12:46:00 PM","Adoption","07/06/2015 03:27:00 PM","Stray","Domestic Shorthair Mix","White/Orange Tabby",1
"188","A668544",14,"12/18/2013 03:57:00 PM","Adoption","12/04/2013 11:12:00 PM","Public Assist","Domestic Medium Hair Mix","Brown Tabby",6
"189","A692783",1,"11/26/2014 09:00:00 AM","Transfer","11/25/2014 02:39:00 PM","Stray","Domestic Shorthair Mix","Torbie",7
"190","A689225",1,"10/01/2014 09:00:00 AM","Transfer","09/30/2014 07:11:00 PM","Stray","Domestic Medium Hair Mix","Brown Tabby",72
